BRAND,TYPE,CC,TRANS,FUEL,TANK_CAPT,GVW (Kg),GEAR_RATIO,WHEEL_&_TYRE_SIZE,HP,WHEEL_BASE,Dimention,SEATER,DRIVE_SYS,penggerak,SPEED,DOOR,WHEELS,CBU/CKD,ORIGIN COUNTRY
MERCEDES-BENZ - PC,E 300 AVA,1991,AT,G,66,2395,9,245/45 R18,258,2939,"4,686 x  2,065 x  1,468",5,4X2,FR,-,4,4,CKD,IND
MERCEDES-BENZ - PC,E 350 AMG,1991,AT,G,66,2410,9,"245/40, 275/35 R19",299,2939,"4,702 x  2,065 x  1,452",5,4X2,FR,-,4,4,CKD,IND
MERCEDES-BENZ - PC,S 450,2996,AT,G,80,2700,9,"245/45, 275/40 R19",367,3165,"5,255 x  2,130 x  1,494",5,4X2,FR,-,4,4,CKD,IND
MERCEDES-BENZ - PC,C 200 Estate,1991,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x  2,020 x  1,457",5,4X2,FR,-,5,4,CBU,IND
MERCEDES-BENZ - PC,C 200 Cabrio,1991,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x  2,020 x  1,457",5,4X2,FR,-,5,4,CBU,IND
MERCEDES-BENZ - PC,C 300 Coupe,1991,AT,G,66,2110,9,"225/40, 255/35 R19",258,2840,"4,696 x  2,016 x  1,408",4,4X2,FR,-,2,4,CBU,IND
MERCEDES-BENZ - PC,C 200 Coupe,1991,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x  2,020 x  1,457",5,4X2,FR,-,5,4,CBU,-
MERCEDES-BENZ - PC,E 300 Coupe,1991,AT,G,66,2320,9,"245/40, 275/35 R19",258,2873,"4,846 x  2,065 x  1,431",4,4X2,FR,-,2,4,CBU,-
MERCEDES-BENZ - PC,E 300 ( CBU ),1991,AT,G,66,2110,9,"225/40, 255/35 R19",258,2840,"4,696 x  2,016 x  1,408",4,4X2,FR,-,2,4,CBU,IND
MERCEDES-BENZ - PC,S 450 (CBU),3000,-,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
MERCEDES-BENZ - PC,CLS 350 AMG,1991,AT,G,66,2410,9,"245/35, 275/30 R20",299,2939,"4,996 x  2,069 x  1,436",5,4X2,FR,-,4,4,CBU,-
TOYOTA,All New  Corolla Altis  G,1800,MT,G,55,1250,4,205/55R16,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand
TOYOTA,All New  Corolla Altis  i.8 G AT,1800,AT,G,55,1250,4,205/55R16,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand
TOYOTA,All New  Corolla Altis  V  AT,1800,AT,G,55,1270,5,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand
TOYOTA,All New Corolla Altis 1.8 Hybrid AT,"1,800",AT,HYBRI,55,"1,250",4,205/55R16,151 / 6400,"2,700",4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand
TOYOTA,All New  Camry  2.5 G,2500,AT,G,70,1465,3815,215/60R16,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand
TOYOTA,All New  Camry  2.5 V,2500,AT,G,70,1465,3815,215/55R17,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand
TOYOTA,All New  Camry  2.5 Hybrid Mi,2500,AT,HYBRID,65,1625,3542,215/55R17,156.6 /5700,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand
TOYOTA,86 AT,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan
TOYOTA,86 TRD,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan
TOYOTA,86 Aero,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan
TOYOTA,Crow n 2.5 Hybrid,2500,AT,HYBRID,-,-,-,-,-,-,-,5,4X2,FR,-,4,4,CBU,Japan
